IngressBytes,InRxmitBytes,InCongestionBytes,Connections
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
27,0,0,1
195,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
811,0,0,2
6263,0,0,9
3857,0,0,4
816,0,0,1
71,0,0,0
519,0,0,2
439,0,0,2
2563,0,0,2
1172,0,0,13
5546,0,0,38
4768,0,0,17
1073,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
913,0,0,0
6450,0,0,1
7686,0,0,0
62600,0,0,5
68304,0,0,3
71170,0,0,3
20661,0,0,1
16743,0,0,2
31378,0,0,2
45699,0,0,2
12587,0,0,0
0,0,0,0
3464,0,0,0
24480,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,2
0,0,0,2
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,2
0,0,0,1
0,0,0,0
0,0,0,2
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
66,0,0,1
692,11,0,3
1856,82,0,3
2690,0,0,2
4639,0,0,2
517,0,0,2
3352,0,0,5
3030,0,0,31
5767,0,0,36
1921,0,0,7
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
2462,0,0,0
17392,0,0,0
3715,0,0,0
33511,0,0,1
62939,0,0,2
93065,0,0,6
82866,0,0,3
62485,0,0,2
10276,0,0,1
12690,0,0,1
36437,0,0,3
53462,0,0,2
15770,0,0,1
81139,0,0,3
43394,0,0,0
0,0,0,0
39,0,0,0
278,0,0,1
0,0,0,0
0,0,0,0
0,0,0,2
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
