IngressBytes,InRxmitBytes,InCongestionBytes,Connections
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
31,0,0,0
268,0,0,0
322,0,0,0
150,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
11937,0,0,0
126275,0,0,1
389954,0,0,3
716369,0,0,9
472699,0,0,8
776177,0,73766,6
1255040,0,525470,10
1344297,0,30700,10
1032320,0,52511,10
1482795,0,409462,12
1070198,0,271945,32
600125,0,33653,37
1078556,0,237741,33
683777,0,0,13
459393,0,0,5
253981,0,0,2
82416,0,0,2
443078,0,0,1
98699,0,0,1
250688,0,0,1
34117,0,0,1
201324,0,0,3
311326,0,0,2
23535,0,0,1
0,0,0,0
0,0,0,0
39802,0,0,0
304833,0,0,2
174654,0,0,1
84708,0,0,1
233116,0,0,1
104773,0,0,1
24495,0,0,1
10672,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
27,0,0,1
195,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10,0,0,0
75,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
33,0,0,1
239,0,0,2
0,0,0,0
0,0,0,0
